1,massey,explosion,safety,sentence,coal,say,prison,fine,upper,branch,court,violate,appeal,ceo,msha,kill,big,convict,willfully,energy,Blankenship
2,coal,say,clinton,miner,williamson,west,industry,people,mrs,campaign,confront,trump,mingo,make,year,run,wva,candidate,job,want,Copley
3,border,guard,republican,plant,state,troop,say,epa,rahall,power,emission,carbon,rep,primary,office,seat,electricity,national,coal,rule,Jenkins
4,sen,democrat,say,vote,republican,yes,cavuto,trump,senator,west,senate,democratic,state,gun,president,virginia,bank,make,primary,support,Manchin
5,trump,state,say,west,climate,republican,coal,bannon,attorney,vote,virginia,primary,rep,sen,democratic,general,democrat,seat,incumbent,race,Morrisey
6,say,west,weirton,virginia,veteran,opioid,resident,run,candidate,drive,healthcare,care,need,debate,wyatt,job,medical,heart,immigration,primary,Newbrough
7,west,say,coal,virginia,state,percent,primary,senate,people,candidate,sander,run,republican,want,campaign,democrat,trump,democratic,election,miner,Swearengin
8,west,say,veteran,candidate,virginia,business,need,opioid,state,national,senate,wvu,republican,military,virginian,primary,race,job,attorney,beret,Willis
9,say,del,gun,republican,speech,delegate,rozell,democrat,nick,gop,house,school,floor,virginia,governor,primary,county,william,candidate,support,Freitas
10,candidate,raiklin,say,ew,whitbeck,nick,trump,republican,gop,faith,party,campaign,cnp,conservative,file,senate,president,delegate,christian,voter,Jackson
11,say,clinton,trump,sen,democrat,vote,republican,democratic,campaign,state,president,senate,virginia,new,election,authorization,cnn,congress,war,email,Kaine
12,gillespie,say,virginia,trump,immigration,county,campaign,police,illegal,immigrant,northam,perriello,state,republican,officer,prince,william,monument,arrest,law,Stewart
13,water,libertarian,candidate,tyrant,party,income,federal,senate,virginia,tax,virginian,say,debt,campaign,agriculture,nominate,liberty,signature,abolish,government,Waters
14,zuckerberg,facebook,company,wsj,bank,app,user,bloomberg,reportedly,nyt,data,agree,cambridge,firm,control,ft,loan,billion,percent,buy,Bible
15,trump,say,republican,sen,president,senate,vote,house,care,senator,conservative,yes,texas,campaign,people,make,health,democrat,cambridge,new,Cruz
16,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,McNeil
17,rep,texas,democrat,republican,state,say,trump,race,win,democratic,primary,seat,veteran,sen,run,election,incumbent,campaign,vote,district,ORourke
