1,massey,explosion,safety,coal,sentence,say,prison,fine,upper,branch,violate,court,ceo,appeal,willfully,big,kill,msha,energy,convict,Blankenship
2,coal,mrs,clinton,miner,say,trump,industry,williamson,west,mingo,voter,county,campaign,job,plant,economic,husband,white,natural,workingclass,Copley
3,border,guard,republican,plant,state,troop,epa,say,rahall,power,emission,primary,carbon,rep,seat,coal,office,national,west,electricity,Jenkins
4,sen,democrat,say,vote,republican,yes,cavuto,senator,trump,west,senate,democratic,state,gun,virginia,president,bank,primary,make,support,Manchin
5,trump,state,say,west,climate,republican,coal,bannon,attorney,virginia,primary,vote,general,rep,sen,democratic,democrat,seat,incumbent,race,Morrisey
6,death,detainee,medical,immigration,jail,detention,infection,say,piedmont,cell,pain,isolation,stepfather,venter,case,deny,guard,care,drag,unit,Newbrough
7,west,say,fox,candidate,primary,sander,voter,democratic,trump,party,senate,republican,percent,virginia,campaign,attorney,general,accord,election,democrat,Swearengin
8,delegate,say,amendment,honest,nra,spends,speech,pc,ingraham,levine,correctness,school,nick,northam,offense,delta,segregationist,county,second,illegal,Freitas
9,faith,cnp,conservative,trump,christian,say,candidate,group,clinton,party,blackwell,believe,evangelicals,right,extremist,gop,membership,pray,religious,nehlen,Jackson
10,say,clinton,trump,sen,democrat,republican,vote,campaign,state,democratic,president,senate,virginia,new,election,war,congress,authorization,email,northam,Kaine
11,gillespie,virginia,say,trump,county,immigration,campaign,illegal,police,northam,immigrant,state,republican,perriello,officer,prince,william,monument,arrest,law,Stewart
12,graduate,newport,hampton,dollar,university,federal,nonprofit,liberty,government,trillion,education,today,degree,bear,parent,bureaucracy,crabbers,devalue,forprofits,homeschool,Waters
13,zuckerberg,facebook,company,bank,wsj,app,user,bloomberg,reportedly,nyt,data,agree,firm,percent,cambridge,control,ft,loan,billion,buy,Bible
14,trump,say,republican,sen,president,senate,vote,house,care,senator,conservative,campaign,people,make,yes,health,texas,democrat,cambridge,gop,Cruz
15,rep,democrat,texas,republican,state,say,trump,race,win,primary,democratic,seat,veteran,run,sen,election,incumbent,campaign,district,senate,ORourke
