,april,may,june,july,august,september,october,november,december,january,february,march,last_name
0,0,0,0,0,0,0,0,2,0,0,1,1,Blankenship
1,0,0,0,0,0,0,0,0,0,0,0,0,Copley
2,8,0,0,0,0,0,0,0,0,0,0,1,Jenkins
3,8,0,0,1,0,0,2,0,1,6,0,3,Manchin
4,1,0,1,0,1,0,1,1,0,1,2,3,Morrisey
5,0,0,0,0,0,0,0,0,0,0,0,0,Newbrough
6,0,2,0,0,0,1,0,0,0,0,0,0,Swearengin
7,0,0,0,0,0,0,0,0,0,1,1,0,Willis
8,0,0,0,0,1,0,0,0,0,0,0,0,Freitas
9,0,0,0,0,1,0,0,0,0,0,0,0,Jackson
10,2,0,14,7,8,7,13,8,6,16,7,8,Kaine
11,0,0,3,1,2,1,0,0,0,0,0,0,Stewart
12,0,0,0,0,1,0,0,0,0,0,0,0,Waters
13,9,0,0,0,0,0,0,0,0,0,0,0,Bible
14,8,0,17,2,0,1,10,6,0,10,24,10,Cruz
15,0,0,0,0,0,0,0,0,0,0,0,0,McNeil
16,2,0,1,0,2,0,1,1,2,3,4,8,O'Rourke
